rank,symbol,name,scan_theme,trade_group,parent_group,in_execution_pool,execution_theme,scan_rank_60d_dollar_volume,median_dollar_volume_60d,eligible,scan_score,mom20_pct,mom63_skip5_pct,mom126_skip5_pct,dollar_volume20,dollar_accel20_60_pct,obs
23,NVTS,Navitas Semiconductor Corporation - Common Stock,power_semiconductor,us_unclassified_stock,us_unclassified,False,,240.0,423525182.6161861,True,0.9302531132881718,4.4802118177464045,122.54509121446131,142.20282333355038,690803369.5964813,14.33272085372721,420
24,TTMI,"TTM Technologies, Inc. - Common Stock",us_unclassified,us_unclassified_stock,us_unclassified,False,,435.0,228538099.6650696,True,0.9220741492876389,27.798772827931305,106.77049350654602,143.95362513067354,434624408.3251953,26.12532002563539,420
25,CRDO,Credo Technology Group Holding Ltd - Ordinary Shares,ai_data_center_connectivity,us_unclassified_stock,us_unclassified,False,,94.0,932664772.3220824,True,0.9156564770436785,48.55721549858709,137.3039441514916,55.47596465093356,2067931090.5975342,61.984385737458084,420
26,SITM,SiTime Corporation - Common Stock,us_unclassified,us_unclassified_stock,us_unclassified,False,,555.0,173579940.23895264,True,0.8361383295497915,4.596840463033547,123.37709964299121,96.7966409595888,347343620.95336914,29.756097831292006,420
27,TSEM,Tower Semiconductor Ltd. - Ordinary Shares,us_unclassified,us_unclassified_stock,us_unclassified,False,,189.0,514250534.4467163,True,0.7949953976084627,8.416507230558757,117.93486953149764,108.33870672410532,419651933.3328247,-23.391296554657494,420
28,GFS,GlobalFoundries Inc. - Ordinary Share,semi_foundry_idm,semi_foundry_idm,us_semiconductor,True,us981a_ai_theme,506.0,192964738.5169983,True,0.7874835502124458,21.245939710432204,94.13319924872752,102.05205133536364,397870953.26156616,66.26214583389842,420
29,SMTC,Semtech Corporation - Common Stock,us_unclassified,us_unclassified_stock,us_unclassified,False,,380.0,262361136.819458,True,0.7859325497364403,11.54740142349382,96.10358487314588,103.09163827273315,564134541.8586731,72.64251927846348,420
30,ON,ON Semiconductor Corporation - Common Stock,us_unclassified,us_unclassified_stock,us_unclassified,False,,118.0,768222834.8831177,True,0.7741409651045131,10.352965934936599,101.00537674616304,109.9583560484985,1373258953.8841248,24.014947755660067,420
31,HUM,Humana Inc. Common Stock,health_insurance,health_insurance,us_healthcare,False,,341.0,292210057.12280273,True,0.7357177811929102,18.595852238726728,126.40832018062844,48.50106072765712,401294936.9796753,8.43598408348587,420
32,VIAV,Viavi Solutions Inc. - Common Stock,us_unclassified,us_unclassified_stock,us_unclassified,False,,411.0,241173213.6762619,True,0.7333274955275902,-1.9334726292686621,68.81720864272467,165.25871310365594,319081180.31082153,14.370219134726735,420
33,LRCX,Lam Research Corporation - Common Stock,semi_equipment,semi_equipment,us_semiconductor,True,semi_equipment,26.0,2381657240.762329,True,0.7202536038457779,33.19182903302145,72.92700917763437,118.74365182908404,3424347574.4674683,28.839274907670266,420
34,POWL,"Powell Industries, Inc. - Common Stock",thermal_power,transformer,us_industrial,True,thermal_power,660.0,140572828.6605835,True,0.7136334568008041,9.647675923909738,69.75620838786953,152.7732056425246,147751728.2470703,-1.4978468987398075,420
35,AMAT,"Applied Materials, Inc. - Common Stock",semi_equipment,semi_equipment,us_semiconductor,True,semi_equipment,27.0,2304604427.575684,True,0.7080734018225199,44.75276195101179,64.06056165728735,107.38830160956083,4678470526.805115,61.824596438801116,420
36,SOXX,iShares PHLX SOX Semiconductor Sector Index Fund,semiconductor_etf,semiconductor_etf,us_etf,True,,,,True,0.6559070739755475,22.897890720429757,77.78032820481708,88.31216958738996,5641751563.934326,39.319391644536104,420
37,AMKR,"Amkor Technology, Inc. - Common Stock",us_unclassified,us_unclassified_stock,us_unclassified,False,,438.0,227967586.8202209,True,0.6431530549980246,32.07767835590052,84.51659966374837,71.02874104749894,398776342.1173096,21.101147180608535,420
38,BE,Bloom Energy Corporation Class A Common Stock,clean_power,energy_oil_gas,us_energy_materials,False,,39.0,1868126576.287841,True,0.6341899102884818,16.50667936187553,58.350835262647394,127.41228009023659,2856903727.0751953,20.067092657225906,420
39,SNX,TD SYNNEX Corporation Common Stock,us_unclassified,us_unclassified_stock,us_unclassified,False,,658.0,140709497.10083008,True,0.6266738357364764,23.35703424377178,81.04506104700316,80.63571654089701,199266512.6312256,13.667701185176107,420
40,MTSI,"MACOM Technology Solutions Holdings, Inc. - Common Stock",us_unclassified,us_unclassified_stock,us_unclassified,False,,342.0,290579881.2194824,True,0.6247664366069604,4.178758234836133,73.54821039576184,99.25563915203387,579244518.7698364,37.30287547627511,420
41,MKSI,MKS Inc. - Common Stock,us_unclassified,us_unclassified_stock,us_unclassified,False,,345.0,288275940.90271,True,0.615270164427975,30.45166523635423,61.749964138380165,109.24590028730191,345317037.03308105,3.377244614300956,420
42,RIOT,"Riot Platforms, Inc. - Common Stock",us_unclassified,us_unclassified_stock,us_unclassified,False,,335.0,299201783.72626305,True,0.5915896041225498,18.71567507772225,80.27585785964442,68.53642168858276,425398301.52397156,21.575839377248517,420
43,NTAP,"NetApp, Inc. - Common Stock",server_network,us_unclassified_stock,us_unclassified,True,server_network,446.0,224111638.57269287,True,0.5905847047295828,34.243931306335476,66.40044176988016,38.17473518800274,561006472.6760864,127.85801618244426,420
44,CNC,Centene Corporation Common Stock,us_unclassified,us_unclassified_stock,us_unclassified,False,,397.0,252158554.96730804,True,0.5880476772295933,4.701444296255097,83.80098778259601,66.8592380783704,351181422.25723267,34.39224841947504,420
45,RKLB,Rocket Lab Corporation - Common Stock,space_ev_defense,us_unclassified_stock,us_unclassified,True,space_ev_defense,42.0,1749003281.39534,True,0.5815023418843472,-20.137027972401466,67.88064087804206,114.823129559627,3064998084.7236633,29.255689978893386,420
46,DDOG,"Datadog, Inc. - Class A Common Stock",us981a_ai_theme,saas_software,us_technology,True,us981a_ai_theme,159.0,587950873.5557556,True,0.5782757404354676,5.069729659040401,84.20886972887214,53.529523660172984,1313925724.812317,55.37255818702971,420
47,SANM,Sanmina Corporation - Common Stock,us_unclassified,us_unclassified_stock,us_unclassified,False,,685.0,133304062.23983765,True,0.5751654837431184,4.459734035826424,95.47289173741089,50.35002697016671,194797340.8519287,10.742935427699795,420
48,FTNT,"Fortinet, Inc. - Common Stock",us981a_ai_theme,cybersecurity,us_technology,True,us981a_ai_theme,202.0,486956494.719696,True,0.5731130739105356,11.330765944260811,71.87203191473301,73.72454797436376,838772589.3630981,42.71602846980602,420
49,ONTO,Onto Innovation Inc. Common Stock,us_unclassified,us_unclassified_stock,us_unclassified,False,,463.0,214784020.86639404,True,0.5714520965466157,26.84707204291947,64.43469570457513,86.66133548982626,304644101.4022827,11.148483065623038,420
